<b>Teams</b>,<b>Shares</b>,<b>Points</b>,<b>Value</b>
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/argentina_betting.html">ARGENTINA</a>,74,33.0,0.446
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/australia_betting.html">AUSTRALIA</a>,6,2.5,0.417
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/belgium_betting.html">BELGIUM</a>,35,1.5,0.043
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/brazil_betting.html">BRAZIL</a>,76,5.0,0.066
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/cameroon_betting.html">CAMEROON</a>,2,1.5,0.75
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/canada_betting.html">CANADA</a>,4,0.0,0.0
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/costarica_betting.html">COSTA RICA</a>,2,1.0,0.5
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/croatia_betting.html">CROATIA</a>,21,12.5,0.595
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/denmark_betting.html">DENMARK</a>,35,0.5,0.014
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/ecuador_betting.html">ECUADOR</a>,5,1.5,0.3
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/england_betting.html">ENGLAND</a>,44,5.5,0.125
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/france_betting.html">FRANCE</a>,60,17.0,0.283
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/germany_betting.html">GERMANY</a>,37,1.5,0.041
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/ghana_betting.html">GHANA</a>,9,1.0,0.111
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/iran_betting.html">IRAN</a>,0,1.0,inf
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/japan_betting.html">JAPAN</a>,5,3.0,0.6
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/mexico_betting.html">MEXICO</a>,14,1.5,0.107
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/morocco_betting.html">MOROCCO</a>,7,9.5,1.357
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/netherlands_betting.html">NETHERLANDS</a>,42,5.5,0.131
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/poland_betting.html">POLAND</a>,18,2.0,0.111
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/portugal_betting.html">PORTUGAL</a>,39,5.0,0.128
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/qatar_betting.html">QATAR</a>,7,0.0,0.0
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/saudiarabia_betting.html">SAUDI ARABIA</a>,2,1.0,0.5
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/senegal_betting.html">SENEGAL</a>,17,2.5,0.147
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/serbia_betting.html">SERBIA</a>,23,0.5,0.022
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/southkorea_betting.html">SOUTH KOREA</a>,1,2.0,2.0
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/spain_betting.html">SPAIN</a>,17,2.0,0.118
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/switzerland_betting.html">SWITZERLAND</a>,8,2.5,0.312
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/tunisia_betting.html">TUNISIA</a>,2,1.5,0.75
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/usa_betting.html">USA</a>,16,2.5,0.156
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/uruguay_betting.html">URUGUAY</a>,24,1.5,0.062
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/wales_betting.html">WALES</a>,8,0.5,0.062
