<b>Teams</b>,<b>Shares</b>,<b>Points</b>,<b>Value</b>
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/argentina_general.html">ARGENTINA</a>,68,33.0,0.485
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/australia_general.html">AUSTRALIA</a>,20,2.5,0.125
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/belgium_general.html">BELGIUM</a>,3,1.5,0.5
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/brazil_general.html">BRAZIL</a>,18,5.0,0.278
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/cameroon_general.html">CAMEROON</a>,5,1.5,0.3
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/canada_general.html">CANADA</a>,0,0.0,0.0
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/costarica_general.html">COSTA RICA</a>,12,1.0,0.083
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/croatia_general.html">CROATIA</a>,60,12.5,0.208
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/denmark_general.html">DENMARK</a>,1,0.5,0.5
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/ecuador_general.html">ECUADOR</a>,4,1.5,0.375
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/england_general.html">ENGLAND</a>,7,5.5,0.786
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/france_general.html">FRANCE</a>,34,17.0,0.5
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/germany_general.html">GERMANY</a>,3,1.5,0.5
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/ghana_general.html">GHANA</a>,3,1.0,0.333
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/iran_general.html">IRAN</a>,9,1.0,0.111
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/japan_general.html">JAPAN</a>,44,3.0,0.068
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/mexico_general.html">MEXICO</a>,6,1.5,0.25
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/morocco_general.html">MOROCCO</a>,84,9.5,0.113
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/netherlands_general.html">NETHERLANDS</a>,16,5.5,0.344
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/poland_general.html">POLAND</a>,6,2.0,0.333
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/portugal_general.html">PORTUGAL</a>,16,5.0,0.312
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/qatar_general.html">QATAR</a>,0,0.0,0.0
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/saudiarabia_general.html">SAUDI ARABIA</a>,7,1.0,0.143
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/senegal_general.html">SENEGAL</a>,12,2.5,0.208
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/serbia_general.html">SERBIA</a>,1,0.5,0.5
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/southkorea_general.html">SOUTH KOREA</a>,26,2.0,0.077
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/spain_general.html">SPAIN</a>,4,2.0,0.5
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/switzerland_general.html">SWITZERLAND</a>,7,2.5,0.357
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/tunisia_general.html">TUNISIA</a>,10,1.5,0.15
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/usa_general.html">USA</a>,8,2.5,0.312
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/uruguay_general.html">URUGUAY</a>,5,1.5,0.3
<a href="https://naiimic.github.io/content/fantasyshares/teams_html/wales_general.html">WALES</a>,1,0.5,0.5
