,money,name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
0,NO,Player 1,ARGENTINA,SERBIA,PORTUGAL,GERMANY,SERBIA,BRAZIL,BELGIUM,FRANCE,ARGENTINA,PORTUGAL
1,YES,Player 2,ARGENTINA,ENGLAND,ARGENTINA,CROATIA,MEXICO,USA,SERBIA,PORTUGAL,FRANCE,AUSTRALIA
2,NO,Player 3,SPAIN,BRAZIL,SPAIN,SPAIN,SPAIN,NETHERLANDS,NETHERLANDS,BRAZIL,SOUTH KOREA,WALES
3,YES,Player 4,SENEGAL,DENMARK,WALES,POLAND,SWITZERLAND,GERMANY,BELGIUM,BELGIUM,SERBIA,POLAND
4,YES,Player 5,ENGLAND,SPAIN,ENGLAND,FRANCE,FRANCE,FRANCE,ENGLAND,SPAIN,SPAIN,SPAIN
5,YES,Player 6,SPAIN,POLAND,SPAIN,CROATIA,SAUDI ARABIA,SPAIN,ENGLAND,ENGLAND,ENGLAND,BELGIUM
6,YES,Player 7,ARGENTINA,BRAZIL,ARGENTINA,ARGENTINA,ARGENTINA,GERMANY,GERMANY,GERMANY,BRAZIL,BRAZIL
7,YES,Player 8,ARGENTINA,FRANCE,ARGENTINA,GERMANY,GERMANY,GERMANY,GERMANY,PORTUGAL,PORTUGAL,FRANCE
8,NO,Player 9,BELGIUM,DENMARK,BELGIUM,BELGIUM,BELGIUM,BRAZIL,BRAZIL,CROATIA,CROATIA,DENMARK
9,YES,Player 10,ARGENTINA,ARGENTINA,QATAR,URUGUAY,BELGIUM,USA,SWITZERLAND,ECUADOR,MEXICO,TUNISIA
10,YES,Player 11,ARGENTINA,SPAIN,ENGLAND,AUSTRALIA,BELGIUM,BRAZIL,PORTUGAL,URUGUAY,CROATIA,GERMANY
11,YES,Player 12,ARGENTINA,NETHERLANDS,WALES,MEXICO,BRAZIL,URUGUAY,CROATIA,FRANCE,ECUADOR,ENGLAND
12,YES,Player 13,DENMARK,FRANCE,DENMARK,DENMARK,DENMARK,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,BELGIUM
13,YES,Player 14,ECUADOR,PORTUGAL,USA,POLAND,DENMARK,GHANA,GHANA,PORTUGAL,NETHERLANDS,NETHERLANDS
14,NO,Player 15,QATAR,USA,PORTUGAL,NETHERLANDS,BELGIUM,BRAZIL,ENGLAND,CAMEROON,GERMANY,IRAN
15,NO,Player 16,AUSTRALIA,CANADA,ENGLAND,CANADA,GERMANY,USA,SWITZERLAND,BELGIUM,AUSTRALIA,ENGLAND
16,NO,Player 17,PORTUGAL,ARGENTINA,QATAR,CROATIA,NETHERLANDS,BRAZIL,ENGLAND,GERMANY,SPAIN,ARGENTINA
17,NO,Player 18,NETHERLANDS,SERBIA,ARGENTINA,FRANCE,SPAIN,BELGIUM,BRAZIL,URUGUAY,PORTUGAL,ENGLAND
18,YES,Player 19,CROATIA,PORTUGAL,ENGLAND,FRANCE,GERMANY,BRAZIL,ECUADOR,NETHERLANDS,MEXICO,DENMARK
19,YES,Player 20,PORTUGAL,NETHERLANDS,URUGUAY,SERBIA,CROATIA,POLAND,GERMANY,ENGLAND,URUGUAY,DENMARK
20,YES,Player 21,URUGUAY,GERMANY,POLAND,POLAND,NETHERLANDS,CROATIA,NETHERLANDS,WALES,URUGUAY,GERMANY
21,YES,Player 22,NETHERLANDS,PORTUGAL,NETHERLANDS,ARGENTINA,ARGENTINA,ENGLAND,ENGLAND,FRANCE,FRANCE,CANADA
22,YES,Player 23,ENGLAND,PORTUGAL,GERMANY,BRAZIL,BRAZIL,DENMARK,BELGIUM,USA,WALES,CROATIA
