name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
Player 1,SERBIA,PORTUGAL,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,ENGLAND,ENGLAND,FRANCE,FRANCE
Player 2,ARGENTINA,QATAR,BRAZIL,ENGLAND,SPAIN,URUGUAY,FRANCE,GERMANY,PORTUGAL,BELGIUM
Player 3,BRAZIL,GERMANY,BRAZIL,BRAZIL,BELGIUM,ARGENTINA,FRANCE,ENGLAND,NETHERLANDS,SPAIN
Player 4,SENEGAL,URUGUAY,SENEGAL,MEXICO,MEXICO,CROATIA,CROATIA,SWITZERLAND,SWITZERLAND,URUGUAY
Player 5,URUGUAY,BELGIUM,JAPAN,DENMARK,ARGENTINA,SERBIA,SERBIA,ENGLAND,ENGLAND,BELGIUM
Player 6,BRAZIL,WALES,BRAZIL,CAMEROON,COSTA RICA,COSTA RICA,ENGLAND,FRANCE,MEXICO,MEXICO
Player 7,URUGUAY,NETHERLANDS,SWITZERLAND,BELGIUM,BELGIUM,GERMANY,GERMANY,DENMARK,ARGENTINA,USA
Player 8,ENGLAND,COSTA RICA,ENGLAND,ENGLAND,TUNISIA,TUNISIA,SERBIA,SERBIA,SOUTH KOREA,SOUTH KOREA
Player 9,CROATIA,PORTUGAL,ENGLAND,FRANCE,GERMANY,BRAZIL,ECUADOR,NETHERLANDS,MEXICO,DENMARK
Player 10,NETHERLANDS,SERBIA,ARGENTINA,FRANCE,SPAIN,BELGIUM,BRAZIL,URUGUAY,PORTUGAL,ENGLAND
Player 11,JAPAN,SPAIN,CANADA,SENEGAL,SENEGAL,NETHERLANDS,NETHERLANDS,BRAZIL,ENGLAND,ENGLAND
Player 12,ARGENTINA,FRANCE,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,FRANCE,FRANCE
Player 13,SENEGAL,GERMANY,SENEGAL,SENEGAL,MEXICO,MEXICO,URUGUAY,URUGUAY,SOUTH KOREA,SOUTH KOREA
Player 14,ARGENTINA,USA,ARGENTINA,BELGIUM,URUGUAY,GERMANY,ENGLAND,ENGLAND,NETHERLANDS,FRANCE
Player 15,SENEGAL,URUGUAY,SENEGAL,SENEGAL,SENEGAL,WALES,WALES,WALES,WALES,URUGUAY
Player 16,ENGLAND,NETHERLANDS,ENGLAND,ENGLAND,BRAZIL,BRAZIL,BRAZIL,SERBIA,SERBIA,NETHERLANDS
Player 17,GERMANY,URUGUAY,GERMANY,GERMANY,MEXICO,MEXICO,MEXICO,SPAIN,SPAIN,SPAIN
Player 18,BRAZIL,DENMARK,BRAZIL,BRAZIL,BRAZIL,ENGLAND,ENGLAND,ENGLAND,SENEGAL,SENEGAL
Player 19,URUGUAY,MOROCCO,URUGUAY,SERBIA,SERBIA,SENEGAL,SENEGAL,WALES,WALES,MOROCCO
Player 20,ARGENTINA,URUGUAY,ARGENTINA,PORTUGAL,PORTUGAL,PORTUGAL,SPAIN,SPAIN,SPAIN,ARGENTINA
Player 21,USA,URUGUAY,USA,ARGENTINA,ARGENTINA,ARGENTINA,JAPAN,JAPAN,CANADA,URUGUAY
Player 22,PORTUGAL,WALES,PORTUGAL,URUGUAY,URUGUAY,SENEGAL,MEXICO,MEXICO,ENGLAND,SWITZERLAND
Player 23,ARGENTINA,WALES,ARGENTINA,ARGENTINA,ARGENTINA,NETHERLANDS,NETHERLANDS,NETHERLANDS,WALES,WALES
Player 24,ARGENTINA,PORTUGAL,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,QATAR,PORTUGAL,URUGUAY
Player 25,ARGENTINA,SENEGAL,ARGENTINA,USA,ENGLAND,FRANCE,FRANCE,SERBIA,NETHERLANDS,CROATIA
Player 26,NETHERLANDS,PORTUGAL,NETHERLANDS,FRANCE,FRANCE,GERMANY,GERMANY,ARGENTINA,ARGENTINA,SPAIN
Player 27,ARGENTINA,ECUADOR,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,GERMANY,GERMANY,ECUADOR
Player 28,AUSTRALIA,CANADA,ENGLAND,CANADA,GERMANY,USA,SWITZERLAND,BELGIUM,AUSTRALIA,ENGLAND
Player 29,SWITZERLAND,BRAZIL,SWITZERLAND,DENMARK,DENMARK,DENMARK,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL
Player 30,SWITZERLAND,BELGIUM,SWITZERLAND,SWITZERLAND,WALES,WALES,WALES,SENEGAL,SENEGAL,BELGIUM
Player 31,ARGENTINA,MEXICO,ARGENTINA,BRAZIL,BRAZIL,IRAN,IRAN,NETHERLANDS,NETHERLANDS,MEXICO
Player 32,CROATIA,SENEGAL,CROATIA,FRANCE,FRANCE,GERMANY,GERMANY,GERMANY,SENEGAL,SENEGAL
