,<b>Name</b>,<b>Points</b>
&#129351,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player103_general_after.html">Player 103</a>,4382
2,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player30_general_after.html">Player 30</a>,3802
3,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player53_general_after.html">Player 53</a>,3711
4,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player65_general_after.html">Player 65</a>,3637
5,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player72_general_after.html">Player 72</a>,3550
6,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player80_general_after.html">Player 80</a>,3480
7,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player76_general_after.html">Player 76</a>,3356
8,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player94_general_after.html">Player 94</a>,3306
9,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player36_general_after.html">Player 36</a>,3285
10,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player86_general_after.html">Player 86</a>,3251
11,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player43_general_after.html">Player 43</a>,3119
12,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player57_general_after.html">Player 57</a>,3092
13,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player49_general_after.html">Player 49</a>,3072
14,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player13_general_after.html">Player 13</a>,3069
15,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player100_general_after.html">Player 100</a>,3050
16,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player82_general_after.html">Player 82</a>,2956
17,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player22_general_after.html">Player 22</a>,2870
18,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player28_general_after.html">Player 28</a>,2812
19,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player60_general_after.html">Player 60</a>,2787
20,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player78_general_after.html">Player 78</a>,2747
21,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player26_general_after.html">Player 26</a>,2718
22,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player19_general_after.html">Player 19</a>,2708
23,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player47_general_after.html">Player 47</a>,2700
24,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player93_general_after.html">Player 93</a>,2680
25,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player79_general_after.html">Player 79</a>,2667
26,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player52_general_after.html">Player 52</a>,2584
27,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player58_general_after.html">Player 58</a>,2488
28,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player105_general_after.html">Player 105</a>,2448
29,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player61_general_after.html">Player 61</a>,2429
30,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player95_general_after.html">Player 95</a>,2426
31,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player48_general_after.html">Player 48</a>,2353
32,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player109_general_after.html">Player 109</a>,2319
33,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player97_general_after.html">Player 97</a>,2249
34,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player77_general_after.html">Player 77</a>,2236
35,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player37_general_after.html">Player 37</a>,2222
36,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player55_general_after.html">Player 55</a>,2183
37,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player89_general_after.html">Player 89</a>,2165
38,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player25_general_after.html">Player 25</a>,2143
39,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player104_general_after.html">Player 104</a>,1928
40,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player91_general_after.html">Player 91</a>,1774
41,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player106_general_after.html">Player 106</a>,1769
42,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player88_general_after.html">Player 88</a>,1693
43,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player107_general_after.html">Player 107</a>,1606
44,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player64_general_after.html">Player 64</a>,1509
45,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player99_general_after.html">Player 99</a>,1474
46,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player90_general_after.html">Player 90</a>,1335
47,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player67_general_after.html">Player 67</a>,1322
48,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player62_general_after.html">Player 62</a>,1244
49,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player46_general_after.html">Player 46</a>,1149
50,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player27_general_after.html">Player 27</a>,1084
51,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player101_general_after.html">Player 101</a>,997
